CMDLINE python main.py --input ../graph/ --output ../emb/ --p 1 --q 1 --walk-length 20 --num-walks 10 --dataset 2 --l_type cluster --su
MEM 0.980469 1530828443.5156
MEM 23.648438 1530828443.6520
MEM 36.859375 1530828443.7873
MEM 48.171875 1530828443.9219
MEM 51.316406 1530828444.0554
MEM 57.261719 1530828444.1902
MEM 62.917969 1530828444.3221
MEM 78.332031 1530828444.4535
MEM 90.734375 1530828444.5870
MEM 108.027344 1530828444.7187
MEM 136.367188 1530828444.8517
MEM 172.062500 1530828444.9839
MEM 179.816406 1530828445.1160
MEM 184.976562 1530828445.2485
MEM 193.660156 1530828445.3866
MEM 201.125000 1530828445.5217
MEM 207.511719 1530828445.6570
MEM 225.765625 1530828445.7918
MEM 237.183594 1530828445.9309
MEM 249.507812 1530828446.0723
MEM 256.210938 1530828446.2081
MEM 257.500000 1530828446.3418
MEM 677.789062 1530828446.4804
CHLD 0 221.300781 1530828446.4973
CHLD 1 202.328125 1530828446.4974
MEM 704.492188 1530828446.6226
CHLD 0 223.023438 1530828446.6382
CHLD 1 222.898438 1530828446.6382
MEM 726.445312 1530828446.7673
CHLD 0 232.312500 1530828446.7924
CHLD 1 236.539062 1530828446.7924
MEM 750.382812 1530828446.9248
CHLD 0 237.156250 1530828446.9502
CHLD 1 234.289062 1530828446.9503
MEM 1381.437500 1530828447.0673
CHLD 0 219.089844 1530828447.0829
CHLD 1 219.089844 1530828447.0830
CHLD 2 219.089844 1530828447.0830
CHLD 3 219.089844 1530828447.0830
CHLD 4 219.089844 1530828447.0830
MEM 1407.269531 1530828447.2010
CHLD 0 239.562500 1530828447.2164
CHLD 1 222.574219 1530828447.2165
CHLD 2 219.105469 1530828447.2165
CHLD 3 219.089844 1530828447.2165
CHLD 4 219.089844 1530828447.2165
MEM 1447.757812 1530828447.3360
CHLD 0 240.171875 1530828447.3519
CHLD 1 239.851562 1530828447.3519
CHLD 2 239.546875 1530828447.3519
CHLD 3 222.570312 1530828447.3519
CHLD 4 219.105469 1530828447.3520
MEM 1485.640625 1530828447.4675
CHLD 0 240.687500 1530828447.4825
CHLD 1 240.308594 1530828447.4825
CHLD 2 240.226562 1530828447.4826
CHLD 3 240.019531 1530828447.4826
CHLD 4 239.125000 1530828447.4826
MEM 1489.816406 1530828447.6000
CHLD 0 241.316406 1530828447.6156
CHLD 1 240.750000 1530828447.6156
CHLD 2 240.804688 1530828447.6156
CHLD 3 240.542969 1530828447.6157
CHLD 4 240.667969 1530828447.6157
MEM 1505.449219 1530828447.7334
CHLD 0 241.566406 1530828447.7486
CHLD 1 241.312500 1530828447.7487
CHLD 2 241.558594 1530828447.7487
CHLD 3 241.566406 1530828447.7487
CHLD 4 255.457031 1530828447.7487
MEM 1510.457031 1530828447.8762
CHLD 0 242.441406 1530828447.8991
CHLD 1 241.824219 1530828447.8991
CHLD 2 241.816406 1530828447.8992
CHLD 3 242.300781 1530828447.8992
CHLD 4 250.679688 1530828447.8992
MEM 1514.066406 1530828448.0224
CHLD 0 243.339844 1530828448.0447
CHLD 1 243.238281 1530828448.0447
CHLD 2 242.074219 1530828448.0448
CHLD 3 243.730469 1530828448.0448
CHLD 4 250.679688 1530828448.0448
MEM 1519.660156 1530828448.1627
CHLD 0 244.960938 1530828448.1780
CHLD 1 244.550781 1530828448.1781
CHLD 2 243.687500 1530828448.1781
CHLD 3 245.140625 1530828448.1781
CHLD 4 250.679688 1530828448.1781
MEM 1526.843750 1530828448.2950
CHLD 0 246.316406 1530828448.3078
CHLD 1 246.003906 1530828448.3078
CHLD 2 245.664062 1530828448.3078
CHLD 3 247.167969 1530828448.3078
CHLD 4 250.679688 1530828448.3079
MEM 1532.949219 1530828448.4344
CHLD 0 247.519531 1530828448.4590
CHLD 1 247.679688 1530828448.4591
CHLD 2 247.367188 1530828448.4591
CHLD 3 249.195312 1530828448.4591
CHLD 4 250.679688 1530828448.4592
MEM 1538.914062 1530828448.5827
CHLD 0 248.921875 1530828448.6024
CHLD 1 249.222656 1530828448.6025
CHLD 2 249.312500 1530828448.6025
CHLD 3 250.363281 1530828448.6025
CHLD 4 250.679688 1530828448.6025
MEM 1543.882812 1530828448.7228
CHLD 0 250.425781 1530828448.7364
CHLD 1 250.718750 1530828448.7364
CHLD 2 250.503906 1530828448.7364
CHLD 3 250.363281 1530828448.7364
CHLD 4 250.679688 1530828448.7364
MEM 1549.628906 1530828448.8547
CHLD 0 251.207031 1530828448.8681
CHLD 1 251.175781 1530828448.8681
CHLD 2 250.789062 1530828448.8681
CHLD 3 259.820312 1530828448.8681
CHLD 4 250.679688 1530828448.8682
MEM 1563.554688 1530828448.9890
CHLD 0 251.414062 1530828449.0024
CHLD 1 251.175781 1530828449.0024
CHLD 2 250.937500 1530828449.0024
CHLD 3 267.972656 1530828449.0024
CHLD 4 250.679688 1530828449.0025
MEM 1594.796875 1530828449.1215
CHLD 0 251.449219 1530828449.1346
CHLD 1 261.820312 1530828449.1346
CHLD 2 268.523438 1530828449.1346
CHLD 3 252.753906 1530828449.1346
CHLD 4 250.679688 1530828449.1346
MEM 1610.363281 1530828449.2529
CHLD 0 264.246094 1530828449.2663
CHLD 1 269.843750 1530828449.2663
CHLD 2 249.546875 1530828449.2663
CHLD 3 252.753906 1530828449.2664
CHLD 4 250.679688 1530828449.2664
MEM 1613.679688 1530828449.3841
CHLD 0 270.628906 1530828449.3975
CHLD 1 249.531250 1530828449.3976
CHLD 2 249.546875 1530828449.3976
CHLD 3 252.753906 1530828449.3976
CHLD 4 250.679688 1530828449.3976
MEM 1605.800781 1530828449.5167
CHLD 0 262.625000 1530828449.5299
CHLD 1 249.531250 1530828449.5300
CHLD 2 249.546875 1530828449.5300
CHLD 3 252.753906 1530828449.5300
CHLD 4 250.679688 1530828449.5300
MEM 1609.085938 1530828449.6491
CHLD 0 250.281250 1530828449.6627
CHLD 1 249.531250 1530828449.6628
CHLD 2 249.546875 1530828449.6628
CHLD 3 252.753906 1530828449.6628
CHLD 4 250.679688 1530828449.6628
MEM 358.484375 1530828449.7810
CHLD 0 0.000000 1530828449.7945
CHLD 1 0.000000 1530828449.7945
MEM 358.648438 1530828449.9142
MEM 360.656250 1530828450.0478
MEM 364.664062 1530828450.1850
MEM 372.667969 1530828450.3204
MEM 372.667969 1530828450.4545
MEM 372.667969 1530828450.5891
MEM 380.667969 1530828450.7179
MEM 380.667969 1530828450.8448
MEM 380.667969 1530828450.9776
MEM 364.675781 1530828451.1117
